序号,front_x,front_y,left_x,left_y,描述子距离,方向差
1,336,572,120,736,0.45615,0.0
2,892,164,1028,240,0.45653,10.0
3,592,356,524,336,0.4765,0.0
4,648,684,640,820,0.49012,0.0
5,384,624,684,1060,0.52958,0.0
6,1104,368,1152,444,0.5907,10.0
7,712,524,712,572,0.60649,20.0
8,772,732,748,936,0.61296,0.0
9,584,664,552,800,0.62091,0.0
10,416,572,312,664,0.63089,0.0
11,632,644,620,752,0.64313,10.0
12,692,676,700,800,0.65219,20.0
13,416,596,312,704,0.66692,10.0
14,560,660,544,780,0.68124,30.0
15,660,560,652,620,0.69883,0.0
16,1168,760,764,968,0.79098,20.0
